metro_code,series_id,year,period,value,footnotes
19100,ENUC191040510,2021,Q03,1329.0,[{}]
19100,ENUC191040510,2021,Q02,1321.0,[{}]
19100,ENUC191040510,2021,Q01,1395.0,[{}]
19100,ENUC191040510,2020,Q04,1420.0,[{}]
19100,ENUC191040510,2020,Q03,1243.0,[{}]
19100,ENUC191040510,2020,Q02,1249.0,[{}]
19100,ENUC191040510,2020,Q01,1361.0,[{}]
26420,ENUC264240510,2024,Q04,1643.0,[{}]
26420,ENUC264240510,2024,Q03,1501.0,[{}]
26420,ENUC264240510,2024,Q02,1504.0,[{}]
26420,ENUC264240510,2024,Q01,1832.0,[{}]
26420,ENUC264240510,2023,Q04,1583.0,[{}]
26420,ENUC264240510,2023,Q03,1453.0,[{}]
26420,ENUC264240510,2023,Q02,1446.0,[{}]
26420,ENUC264240510,2023,Q01,1773.0,[{}]
26420,ENUC264240510,2022,Q04,1527.0,[{}]
26420,ENUC264240510,2022,Q03,1450.0,[{}]
26420,ENUC264240510,2022,Q02,1406.0,[{}]
26420,ENUC264240510,2022,Q01,1620.0,[{}]
26420,ENUC264240510,2021,Q04,1526.0,[{}]
26420,ENUC264240510,2021,Q03,1350.0,[{}]
26420,ENUC264240510,2021,Q02,1333.0,[{}]
26420,ENUC264240510,2021,Q01,1462.0,[{}]
26420,ENUC264240510,2020,Q04,1445.0,[{}]
26420,ENUC264240510,2020,Q03,1279.0,[{}]
26420,ENUC264240510,2020,Q02,1305.0,[{}]
26420,ENUC264240510,2020,Q01,1503.0,[{}]
12420,ENUC124240510,2024,Q04,1843.0,[{}]
12420,ENUC124240510,2024,Q03,1679.0,[{}]
12420,ENUC124240510,2024,Q02,1670.0,[{}]
12420,ENUC124240510,2024,Q01,1872.0,[{}]
12420,ENUC124240510,2023,Q04,1724.0,[{}]
12420,ENUC124240510,2023,Q03,1601.0,[{}]
12420,ENUC124240510,2023,Q02,1598.0,[{}]
12420,ENUC124240510,2023,Q01,1749.0,[{}]
12420,ENUC124240510,2022,Q04,1667.0,[{}]
12420,ENUC124240510,2022,Q03,1619.0,[{}]
12420,ENUC124240510,2022,Q02,1553.0,[{}]
12420,ENUC124240510,2022,Q01,1673.0,[{}]
12420,ENUC124240510,2021,Q04,1696.0,[{}]
12420,ENUC124240510,2021,Q03,1494.0,[{}]
12420,ENUC124240510,2021,Q02,1456.0,[{}]
12420,ENUC124240510,2021,Q01,1560.0,[{}]
12420,ENUC124240510,2020,Q04,1563.0,[{}]
12420,ENUC124240510,2020,Q03,1367.0,[{}]
12420,ENUC124240510,2020,Q02,1353.0,[{}]
12420,ENUC124240510,2020,Q01,1417.0,[{}]
41700,ENUC417040510,2024,Q04,1262.0,[{}]
41700,ENUC417040510,2024,Q03,1182.0,[{}]
41700,ENUC417040510,2024,Q02,1157.0,[{}]
41700,ENUC417040510,2024,Q01,1277.0,[{}]
41700,ENUC417040510,2023,Q04,1207.0,[{}]
41700,ENUC417040510,2023,Q03,1133.0,[{}]
41700,ENUC417040510,2023,Q02,1105.0,[{}]
41700,ENUC417040510,2023,Q01,1243.0,[{}]
41700,ENUC417040510,2022,Q04,1169.0,[{}]
41700,ENUC417040510,2022,Q03,1131.0,[{}]
41700,ENUC417040510,2022,Q02,1086.0,[{}]
41700,ENUC417040510,2022,Q01,1157.0,[{}]
41700,ENUC417040510,2021,Q04,1188.0,[{}]
41700,ENUC417040510,2021,Q03,1048.0,[{}]
41700,ENUC417040510,2021,Q02,1038.0,[{}]
41700,ENUC417040510,2021,Q01,1047.0,[{}]
41700,ENUC417040510,2020,Q04,1129.0,[{}]
41700,ENUC417040510,2020,Q03,986.0,[{}]
41700,ENUC417040510,2020,Q02,993.0,[{}]
41700,ENUC417040510,2020,Q01,1025.0,[{}]
38060,ENUC380640510,2024,Q04,1465.0,[{}]
38060,ENUC380640510,2024,Q03,1347.0,[{}]
38060,ENUC380640510,2024,Q02,1355.0,[{}]
38060,ENUC380640510,2024,Q01,1460.0,[{}]
38060,ENUC380640510,2023,Q04,1368.0,[{}]
38060,ENUC380640510,2023,Q03,1287.0,[{}]
38060,ENUC380640510,2023,Q02,1296.0,[{}]
38060,ENUC380640510,2023,Q01,1406.0,[{}]
38060,ENUC380640510,2022,Q04,1325.0,[{}]
38060,ENUC380640510,2022,Q03,1299.0,[{}]
38060,ENUC380640510,2022,Q02,1255.0,[{}]
38060,ENUC380640510,2022,Q01,1319.0,[{}]
38060,ENUC380640510,2021,Q04,1344.0,[{}]
38060,ENUC380640510,2021,Q03,1205.0,[{}]
38060,ENUC380640510,2021,Q02,1193.0,[{}]
38060,ENUC380640510,2021,Q01,1217.0,[{}]
38060,ENUC380640510,2020,Q04,1268.0,[{}]
38060,ENUC380640510,2020,Q03,1123.0,[{}]
38060,ENUC380640510,2020,Q02,1118.0,[{}]
38060,ENUC380640510,2020,Q01,1153.0,[{}]
16740,ENUC167440510,2024,Q04,1478.0,[{}]
16740,ENUC167440510,2024,Q03,1376.0,[{}]
16740,ENUC167440510,2024,Q02,1369.0,[{}]
16740,ENUC167440510,2024,Q01,1676.0,[{}]
16740,ENUC167440510,2023,Q04,1408.0,[{}]
16740,ENUC167440510,2023,Q03,1327.0,[{}]
16740,ENUC167440510,2023,Q02,1328.0,[{}]
16740,ENUC167440510,2023,Q01,1635.0,[{}]
16740,ENUC167440510,2022,Q04,1362.0,[{}]
16740,ENUC167440510,2022,Q03,1326.0,[{}]
16740,ENUC167440510,2022,Q02,1293.0,[{}]
16740,ENUC167440510,2022,Q01,1539.0,[{}]
16740,ENUC167440510,2021,Q04,1371.0,[{}]
16740,ENUC167440510,2021,Q03,1224.0,[{}]
16740,ENUC167440510,2021,Q02,1215.0,[{}]
16740,ENUC167440510,2021,Q01,1389.0,[{}]
16740,ENUC167440510,2020,Q04,1281.0,[{}]
16740,ENUC167440510,2020,Q03,1141.0,[{}]
16740,ENUC167440510,2020,Q02,1162.0,[{}]
16740,ENUC167440510,2020,Q01,1342.0,[{}]
39580,ENUC395840510,2024,Q04,1534.0,[{}]
39580,ENUC395840510,2024,Q03,1383.0,[{}]
39580,ENUC395840510,2024,Q02,1399.0,[{}]
39580,ENUC395840510,2024,Q01,1525.0,[{}]
39580,ENUC395840510,2023,Q04,1451.0,[{}]
39580,ENUC395840510,2023,Q03,1349.0,[{}]
39580,ENUC395840510,2023,Q02,1348.0,[{}]
39580,ENUC395840510,2023,Q01,1482.0,[{}]
39580,ENUC395840510,2022,Q04,1403.0,[{}]
39580,ENUC395840510,2022,Q03,1341.0,[{}]
39580,ENUC395840510,2022,Q02,1322.0,[{}]
39580,ENUC395840510,2022,Q01,1401.0,[{}]
39580,ENUC395840510,2021,Q04,1435.0,[{}]
39580,ENUC395840510,2021,Q03,1261.0,[{}]
39580,ENUC395840510,2021,Q02,1263.0,[{}]
39580,ENUC395840510,2021,Q01,1302.0,[{}]
39580,ENUC395840510,2020,Q04,1304.0,[{}]
39580,ENUC395840510,2020,Q03,1206.0,[{}]
39580,ENUC395840510,2020,Q02,1185.0,[{}]
39580,ENUC395840510,2020,Q01,1241.0,[{}]
34980,ENUC349840510,2024,Q04,1577.0,[{}]
34980,ENUC349840510,2024,Q03,1397.0,[{}]
34980,ENUC349840510,2024,Q02,1395.0,[{}]
34980,ENUC349840510,2024,Q01,1509.0,[{}]
34980,ENUC349840510,2023,Q04,1470.0,[{}]
34980,ENUC349840510,2023,Q03,1330.0,[{}]
34980,ENUC349840510,2023,Q02,1327.0,[{}]
34980,ENUC349840510,2023,Q01,1466.0,[{}]
34980,ENUC349840510,2022,Q04,1431.0,[{}]
34980,ENUC349840510,2022,Q03,1342.0,[{}]
34980,ENUC349840510,2022,Q02,1287.0,[{}]
34980,ENUC349840510,2022,Q01,1382.0,[{}]
34980,ENUC349840510,2021,Q04,1435.0,[{}]
34980,ENUC349840510,2021,Q03,1242.0,[{}]
34980,ENUC349840510,2021,Q02,1206.0,[{}]
